mbgd_organism_id	tax_id
mbgd:tpn	orth:891398
mbgd:amo	orth:891968
mbgd:psts	orth:891974
mbgd:men	orth:903503
mbgd:psf	orth:911045
mbgd:cap	orth:926550
mbgd:evi	orth:926556
mbgd:oho	orth:926562
mbgd:atm	orth:926569
mbgd:lmi	orth:929439
mbgd:scn	orth:929556
mbgd:eol	orth:929562
mbgd:gm03389	orth:929713
mbgd:awo	orth:931626
mbgd:aho	orth:933801
mbgd:teq	orth:937774
mbgd:mps	orth:940190
mbgd:thl	orth:945021
mbgd:ial	orth:945713
mbgd:cbx	orth:946483
mbgd:hsa	orth:9606
mbgd:dol	orth:96561
mbgd:mts	orth:979556
mbgd:ctm	orth:981222
mbgd:lan	orth:983544
mbgd:gag	orth:983545
mbgd:kdi	orth:983548
mbgd:rge	orth:983917
mbgd:sgn	orth:984262
mbgd:pgv	orth:991905
mbgd:stm	orth:99287
mbgd:calo	orth:99598
mbgd:lmd	orth:999552
mbgd:tuz	orth:999630
